SK_ID_CURR,EXT_SOURCE_3,AMT_GOODS_PRICE,EXT_SOURCE_2,AMT_ANNUITY,EXT_SOURCE_1,DEF_60_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,AMT_CREDIT,FLAG_DOCUMENT_13,DAYS_EMPLOYED
100001,1,6,10,4,6,1,1,7,0,4
100005,3,2,2,3,4,1,1,2,0,2
100013,8,8,9,10,3,1,1,8,0,2
100028,8,10,4,9,4,1,1,10,0,4
100038,5,8,3,7,1,1,1,8,0,4
100042,3,9,7,8,3,1,1,9,0,1
100057,8,5,6,4,6,1,1,6,0,3
100065,2,2,7,2,4,1,1,2,0,7
100066,6,4,10,6,5,1,1,5,0,8
100067,1,1,3,1,1,1,1,1,0,3
100074,2,8,8,5,3,1,1,8,0,5
100090,3,2,3,3,6,1,1,3,0,2
100091,3,2,4,5,1,1,1,4,0,8
100092,3,5,2,3,2,1,1,5,0,2
100106,7,2,4,1,3,1,1,1,0,4
100107,2,2,9,4,2,1,1,4,0,8
100109,2,5,7,5,4,1,1,5,0,2
100117,8,5,8,4,4,1,1,6,0,5
100128,2,5,3,5,2,1,1,5,0,4
100141,5,7,10,9,5,1,1,6,0,10
100150,10,2,6,3,4,1,1,2,0,3
100168,10,2,9,3,3,1,1,3,0,1
100169,1,8,7,6,6,1,1,7,0,5
100170,3,10,8,9,3,1,1,10,0,7
100171,9,6,9,6,3,1,1,7,0,2
100172,7,2,2,2,3,1,2,2,0,8
100184,4,2,2,1,3,1,1,3,0,5
100187,8,6,2,5,3,1,1,6,0,4
100212,2,6,10,4,3,1,1,5,0,7
100222,2,10,9,7,3,1,1,9,0,3
100223,8,6,10,8,3,1,1,6,0,4
100232,7,4,10,4,3,1,1,4,0,6
100241,8,5,1,3,3,1,1,5,0,10
100245,7,4,8,4,5,1,1,5,0,7
100253,9,9,7,8,2,1,1,9,0,3
100256,2,1,4,2,3,1,1,1,0,8
100271,9,10,10,10,3,1,1,10,0,5
100278,2,6,4,8,3,1,1,5,0,5
100280,9,7,10,10,6,1,1,7,0,8
100306,4,5,3,6,3,1,1,5,0,10
100311,1,4,2,2,5,1,1,3,0,2
100312,10,7,4,7,5,1,1,6,0,5
100330,4,6,4,6,2,1,1,7,0,4
100331,5,8,10,8,3,1,1,9,0,3
100352,1,8,8,8,4,1,1,8,0,7
100358,4,9,2,9,5,1,1,9,0,4
100367,8,4,4,6,3,1,1,3,0,2
100382,1,5,3,4,3,1,1,5,0,4
100384,5,5,3,6,5,1,1,5,0,7
100385,2,8,6,9,3,1,1,7,0,1
100386,5,2,6,2,3,1,1,2,0,8
